game_id,players,team,min,fgm,fga,x3pm,x3pa,ftm,fta,reb,oreb,dreb,ast,stl,blk,to,pf,pts
m9sh1b3jm0p1,Brittney Griner,Phantom,10,5,8,0,0,2,2,5,0,5,1,0,0,1,4,13
m9sh1b3jm0p1,Natisha Hiedeman,Phantom,9,3,7,2,5,0,0,4,0,4,3,1,0,0,3,8
m9sh1b3jm0p1,Katie Lou Samuelson,Phantom,5,5,9,1,3,0,0,3,1,2,1,1,0,2,1,11
m9sh1b3jm0p1,Rhyne Howard,Vinyl,11,4,10,2,5,2,2,8,2,6,4,1,0,1,1,14
m9sh1b3jm0p1,Arike Ogunbowale,Vinyl,12,9,17,2,5,1,2,3,0,3,4,1,0,0,1,21
m9sh1b3jm0p1,Dearica Hamby,Vinyl,11,9,11,0,0,2,4,5,1,4,4,1,0,1,2,22
m9sh1b3jm0p1,Aliyah Boston,Vinyl,10,4,8,0,0,2,2,7,3,4,1,0,0,0,2,11
m9sh1b3jm0p1,Rae Burrell,Vinyl,10,3,10,0,3,1,1,0,0,0,2,1,1,1,0,8
m9sh1b3jm0p1,Jordin Canada,Vinyl,9,2,7,0,0,2,2,4,1,3,1,1,0,0,1,8
9t71p5ri5690,Courtney Vandersloot,Mist,11,2,11,1,5,0,0,6,1,5,1,2,1,2,2,5
9t71p5ri5690,Breanna Stewart,Mist,14,7,17,0,4,2,3,13,1,12,3,0,2,2,1,17
9t71p5ri5690,Jewell Loyd,Mist,12,5,8,0,1,0,0,4,2,2,0,0,0,2,1,10
9t71p5ri5690,DiJonai Carrington,Mist,7,1,10,0,3,0,1,3,0,3,2,3,1,3,3,2
9t71p5ri5690,Aaliyah Edwards,Mist,4,0,1,0,0,0,1,3,1,2,1,1,1,0,1,0
9t71p5ri5690,Rickea Jackson,Mist,9,3,10,1,2,1,1,3,0,3,0,0,0,2,2,9
9t71p5ri5690,Tiffany Hayes,Laces,13,6,16,2,4,1,2,7,1,6,0,0,0,2,2,16
9t71p5ri5690,Kayla McBride,Laces,15,9,22,2,7,1,1,7,1,6,3,1,0,2,1,21
9t71p5ri5690,Alyssa Thomas,Laces,13,6,13,0,0,0,0,15,2,13,4,1,1,2,3,12
9t71p5ri5690,Kate Martin,Laces,10,2,10,2,7,2,2,4,0,4,3,3,0,1,2,10
9t71p5ri5690,Stefanie Dolson,Laces,6,2,4,0,1,0,0,4,0,4,0,0,0,1,1,4
6vgjcmphd6wm,Rickea Jackson,Mist,18,10,21,2,6,1,1,4,1,3,1,1,0,1,3,24
6vgjcmphd6wm,Breanna Stewart,Mist,18,8,17,2,7,5,6,11,1,10,3,2,0,1,0,27
6vgjcmphd6wm,Courtney Vandersloot,Mist,13,3,12,0,5,1,1,7,4,3,4,0,0,2,1,8
6vgjcmphd6wm,NaLyssa Smith,Mist,5,1,2,0,0,0,0,0,0,0,1,0,0,1,3,2
6vgjcmphd6wm,Aaliyah Edwards,Mist,7,3,3,0,0,1,2,3,1,2,0,0,0,2,2,8
6vgjcmphd6wm,Katie Lou Samuelson,Phantom,14,3,7,0,2,0,0,3,1,2,4,1,0,0,3,6
6vgjcmphd6wm,Satou Sabally,Phantom,12,10,17,5,6,2,2,3,1,2,1,0,0,5,6,29
6vgjcmphd6wm,Natasha Cloud,Phantom,15,3,12,0,4,0,0,7,0,7,9,0,0,3,0,6
6vgjcmphd6wm,Brittney Griner,Phantom,15,14,18,0,0,1,1,9,1,8,1,1,0,0,0,29
6vgjcmphd6wm,Natisha Hiedeman,Phantom,6,1,3,0,2,1,1,2,1,1,3,0,0,0,1,4
j2riqv1tez5e,Rhyne Howard,Vinyl,14,6,12,3,7,1,1,4,0,4,4,1,0,2,1,16
j2riqv1tez5e,Arike Ogunbowale,Vinyl,12,5,12,4,8,1,1,2,0,2,4,1,1,1,2,16
j2riqv1tez5e,Dearica Hamby,Vinyl,13,9,15,0,2,0,0,9,2,7,2,4,0,2,5,18
j2riqv1tez5e,Aliyah Boston,Vinyl,7,2,3,0,0,0,0,2,0,2,0,0,1,0,2,4
j2riqv1tez5e,Rae Burrell,Vinyl,6,4,6,1,2,1,1,2,0,2,1,0,0,2,1,11
j2riqv1tez5e,Jordin Canada,Vinyl,9,6,11,1,2,1,2,2,0,2,4,0,0,0,2,14
j2riqv1tez5e,Tiffany Hayes,Laces,13,11,19,4,8,0,0,4,1,3,2,1,0,1,4,26
j2riqv1tez5e,Kayla McBride,Laces,16,7,14,2,4,4,4,4,0,4,3,1,0,4,1,22
j2riqv1tez5e,Alyssa Thomas,Laces,10,5,9,0,0,2,4,12,3,9,4,2,0,2,0,14
j2riqv1tez5e,Kate Martin,Laces,11,5,11,1,5,0,0,3,1,2,1,1,0,0,4,11
j2riqv1tez5e,Stefanie Dolson,Laces,9,4,6,1,1,1,1,5,1,4,0,0,1,1,0,10
nyf4d8danani,Kahleah Copper,Rose,12,7,16,2,5,1,1,4,1,3,0,1,0,1,3,18
nyf4d8danani,Angel Reese,Rose,8,2,6,0,0,0,0,6,1,5,1,1,0,3,4,4
nyf4d8danani,Chelsea Gray,Rose,15,5,13,1,3,1,1,7,0,7,6,1,1,3,4,12
nyf4d8danani,Brittney Sykes,Rose,5,1,5,0,0,0,0,0,0,0,1,1,0,0,1,2
nyf4d8danani,Azurá Stevens,Rose,10,5,10,2,4,2,2,7,1,6,3,0,0,1,1,16
nyf4d8danani,Lexie Hull,Rose,10,8,11,1,2,1,1,3,2,1,3,0,0,0,4,19
